,stem,audio_path,audio_exists
0,swing_that_music,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 20 - Swing That Music.flac,True
1,wrap_your_troubles_in_dreams,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD4/Disc 4 - 09 - Wrap Your Troubles in Dreams.flac,True
2,tricroism,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD3/Disc 3 - 11 - Tricroism.flac,True
3,blues_for_alice,/Users/jordan/Documents/data/JAAH/Extra Songs//Charlie Parker Quintet - Blues for Alice.mp3,False
4,dinah,/Users/jordan/Documents/data/JAAH/SmithsonianCollectionOfClassicJazz/Volume 2/19 - Quintette Of The Hot Club Of France - Dinah.flac,True
5,dinah_red_nichols,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 2/03 - Red Nichols And His Five Pennies - Dinah.flac,True
6,lost_your_head_blues,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 1/04 - Bessie Smith - Lost Your Head Blues.flac,True
7,ko-ko(ellington),/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD2/Disc 2 - 07 - Ko-Ko.flac,True
8,moanin,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD4/Disc 4 - 01 - Moanin'.flac,True
9,lester_leaps_in,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 2/22 - Count Basie's Kansas City Seven - Lester Leaps In.flac,True
10,thats_a_serious_thing,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 13 - That's a Serious Thing.flac,True
11,the_stampede,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 05 - The Stampede.flac,True
12,black_and_tan_fantasy,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 09 - Black and Tan Fantasy.flac,True
13,my_favorite_things,"/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD4/Disc 4 - 10 - My Favorite Things, Part 1 (Single Version).flac",True
14,singin_the_blues,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 07 - Singin' the Blues (Til My Daddy Comes Home).flac,True
15,four_brothers,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD2/Disc 2 - 19 - Four Brothers.flac,True
16,dexter_rides_again,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD2/Disc 2 - 15 - Dexter Rides Again.flac,True
17,diminuendo_and_crescendo_in_blue,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 3/03 - Duke Ellington And His Famous Orchestra - Diminuendo In Blue & Crescendo In Blue.flac,True
18,moten_swing,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 16 - Moten Swing.flac,True
19,maple_leaf_rag(bechet),/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 18 - Maple Leaf Rag.flac,True
20,september_in_the_rain,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD2/Disc 2 - 23 - September in the Rain.flac,True
21,blues_in_the_closet,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD3/Disc 3 - 16 - Blues in the Closet.flac,True
22,these_foolish_things,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 2/11 - Billie Holiday And Her Orchestra - These Foolish Things.flac,True
23,organ_grinders_swing,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 2/15 - Jimmie Lunceford And His Orchestra - Organ Grinder's Swing.flac,True
24,minor_swing,/Users/jordan/Documents/data/JAAH/Jazz_ The Smithsonian Anthology/CD2/Disc 2 - 01 - Minor Swing.flac,True
25,king_porter_stomp,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 1/09 - Jelly Roll Morton - King Porter Stomp.flac,True
26,i_got_rhythm,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 3/09 - Don Byas And Slam Stewart - I Got Rhythm.flac,True
27,rockin_chair,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 2/16 - Gene Krupa And His Orchestra - Rockin' Chair.flac,True
28,girl_from_ipanema,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD5/Disc 5 - 02 - The Girl From Ipanema.flac,True
29,cotton_tail,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 3/06 - Duke Ellington And His Famous Orchestra - Cotton Tail.flac,True
30,potato_head_blues,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 1/14 - Louis Armstrong And His Hot Seven - Potato Head Blues.flac,True
31,the_golden_bullet,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD3/Disc 3 - 02 - The Golden Bullet.flac,True
32,maple_leaf_rag(braxton),/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD6/Disc 6 - 01 - Maple Leaf Rag.flac,True
33,he_s_funny_that_way,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 2/10 - Billie Holiday And Her Orchestra - He's Funny That Way.flac,True
34,isfahan,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD5/Disc 5 - 07 - Isfahan.flac,True
35,embraceable_you,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD2/Disc 2 - 18 - Embraceable You.flac,True
36,livery_stable_blues,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 03 - Livery Stable Blues.flac,True
37,the_man_i_love,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 2/09 - Coleman Hawkins Quartet - The Man I Love.flac,True
38,i_cant_believe_you_are_in_love_with_me,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD2/Disc 2 - 09 - I Can't Believe That You're in Love With Me.flac,True
39,body_and_soul(hawkins),/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD2/Disc 2 - 04 - Body and Soul.flac,True
40,concerto_for_cootie,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 3/05 - Duke Ellington And His Famous Orchestra - Concerto For Cootie.flac,True
41,everybody_loves_my_baby,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 17 - Everybody Loves My Baby.flac,True
42,i_found_a_new_baby,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 2/23 - Benny Goodman Sextet Featuring Charlie Christian And Count Basie - I Found A New Baby.flac,True
43,maple_leaf_rag(hyman),/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 01 - Maple Leaf Rag.flac,True
44,all_alone,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 4/04 - Sarah Vaughan - All Alone.flac,True
45,black_bottom_stomp,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 06 - Black Bottom Stomp.flac,True
46,handful_of_riffs,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 14 - Handfull of Riffs.flac,True
47,dead_man_blues,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 1/07 - Jelly Roll Morton's Red Hot Peppers - Dead Man Blues.flac,True
48,bikini,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 3/22 - Dexter Gordon Quartet - Bikini.flac,True
49,oh_lady_be_good,"/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 3/13 - Charlie Parker With Jazz At The Philharmonic - Lady, Be Good.flac",True
50,body_and_soul(goodman),/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 2/07 - Benny Goodman Trio - Body And Soul.flac,True
51,west_coast_blues,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 5/02 - Wes Montgomery Quartet - West Coast Blues [Abridged].flac,True
52,walkin_shoes,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD3/Disc 3 - 04 - Walkin' Shoes.flac,True
53,st_louis_blues,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 1/03 - Bessie Smith - St. Louis Blues.flac,True
54,i_cant_get_started,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 3/10 - Dizzy Gillespie Sextet - I Can't Get Started.flac,True
55,airegin,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD6/Disc 6 - 10 - Airegin.flac,True
56,in_gloryland,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 02 - In Gloryland.flac,True
57,watermelon_man,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD5/Disc 5 - 12 - Watermelon Man.flac,True
58,misterioso,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD2/Disc 2 - 20 - Misterioso.flac,True
59,daahoud,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD3/Disc 3 - 06 - Daahoud.flac,True
60,manteca,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD2/Disc 2 - 13 - Manteca.flac,True
61,honky_tonk_train,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 21 - Honky Tonk Train Blues.flac,True
62,i_gotta_right_to_sing_the_blues,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 1/20 - Louis Armstrong And His Orchestra - I Gotta Right To Sing The Blues.flac,True
63,indiana,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD2/Disc 2 - 17 - Indiana.flac,True
64,subconscious_lee,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 4/02 - Lennie Tristano Quintet - Subconscious Lee.flac,True
65,crazeology,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 3/18 - Charlie Parker Sextet - Crazeology (Take #4).flac,True
66,stompin_at_the_savoy,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD3/Disc 3 - 15 - Stompin' at the Savoy.flac,True
67,harlem_congo,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 25 - Harlem Congo.flac,True
68,west_end_blues,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 11 - West End Blues.flac,True
69,riverboat_shuffle,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 1/22 - Frankie Trumbauer And His Orchestra - Riverboat Shuffle.flac,True
70,from_monday_on,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 10 - From Monday On.flac,True
71,one_by_one,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD5/Disc 5 - 01 - One by One.flac,True
72,one_oclock_jump,/Users/jordan/Documents/data/JAAH/Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 24 - One O'Clock Jump.flac,True
73,when_lights_are_low,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD2/Disc 2 - 03 - When Lights Are Low.flac,True
74,new_east_st_louis,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 3/02 - Duke Ellington And His Famous Orchestra - The New East St. Louis Toodle-O.flac,True
75,mean_to_me,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 22 - Mean to Me.flac,True
76,cotton_tail_fitzgerald,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD4/Disc 4 - 13 - Cotton Tail.flac,True
77,shaw_nuff,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 3/11 - Dizzy Gillespie All Star Quintette - Shaw 'Nuff.flac,True
78,giant_steps,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD4/Disc 4 - 04 - Giant Steps.flac,True
79,you_d_be_so_nice_to_come_home_to,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 2/12 - Ella Fitzgerald - You'd Be So Nice To Come Home To.flac,True
80,blue_7,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 5/01 - Sonny Rollins Quartet - Blue 7.flac,True
81,wrappin_it_up,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 2/02 - Fletcher Henderson And His Orchestra - Wrappin' It Up.flac,True
82,django,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD3/Disc 3 - 07 - Django.flac,True
83,dippermouth_blues,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 04 - Dipper Mouth Blues.flac,True
84,summertime,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD3/Disc 3 - 18 - Summertime.flac,True
85,dinah_fats_waller,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 19 - Dinah.flac,True
86,sweethearts_on_parade,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 1/19 - Louis Armstrong And His Orchestra - Sweethearts On Parade.flac,True
87,blue_horizon,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 1/11 - Sidney Bechet And His Blue Note Jazz Men - Blue Horizon.flac,True
88,pentup_house,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 4/15 - Sonny Rollins Plus Four - Pent-Up House.flac,True
89,blue_serge,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 3/08 - Duke Ellington And His Famous Orchestra - Blue Serge.flac,True
90,lady_bird,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD2/Disc 2 - 21 - Lady Bird.flac,True
91,big_butter_and_eggman,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 1/13 - Louis Armstrong And His Hot Five - Big Butter And Egg Man From The West.flac,True
92,night_in_tunisia,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 3/21 - Bud Powell Trio - Night In Tunisia.flac,True
93,in_a_mellotone,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 3/07 - Duke Ellington And His Famous Orchestra - In A Mellotone.flac,True
94,boplicity,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD3/Disc 3 - 01 - Boplicity.flac,True
95,the_preacher,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD3/Disc 3 - 08 - The Preacher.flac,True
96,breakfast_feud,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 2/24 - Benny Goodman Sextet Featuring Charlie Christian - Breakfast Feud [Composite].flac,True
97,black_water_blues,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 08 - Black Water Blues.flac,True
98,bags_groove,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 4/09 - Thelonius Monk - Bag's Groove [Solo].flac,True
99,work_song,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD4/Disc 4 - 08 - Work Song.flac,True
100,doggin_around,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 2/20 - Count Basie And His Orchestra - Doggin' Around.flac,True
101,st_thomas,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD3/Disc 3 - 12 - St. Thomas.flac,True
102,struttin_with_some_barbecue,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 1/15 - Louis Armstrong And His Hot Five - Struttin' With Some Barbecue.flac,True
103,weather_bird,/Users/jordan/Documents/data/JAAH/Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 12 - Weather Bird.flac,True
104,four_or_five_times,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 1/23 - Jimmie Noone's Apex Club Orchestra - Four Or Five Times.flac,True
105,for_dancers_only,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 23 - For Dancers Only.flac,True
106,haig_and_haig,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD5/Disc 5 - 05 - Haig & Haig.flac,True
107,hotter_than_that,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 1/16 - Louis Armstrong And His Hot Five - Hotter Than That.flac,True
108,honeysuckle_rose,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD2/Disc 2 - 05 - Honeysuckle Rose.flac,True
109,east_st_louis,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 3/01 - Duke Ellington And His Orchestra - East St. Louis Toodle-Oo.flac,True
110,parkers_mood,/Users/jordan/Documents/data/JAAH/SmithsonianCollectionOfClassicJazz/Volume 3/19 - Charlie Parker All Stars - Parker's Mood.flac,True
111,grandpas_spells,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 1/08 - Jelly Roll Morton's Red Hot Peppers - Grandpa's Spells.flac,True
112,evidence,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 4/07 - Thelonius Monk Quartet - Evidence.flac,True
